2023-04-30 11:35:18 | CPU: 0.0% | RAM: 68.2% | Disk IO: 46385 | Network Connections: 36
2023-04-30 11:35:19 | CPU: 1.0% | RAM: 68.2% | Disk IO: 46385 | Network Connections: 36
2023-04-30 11:35:20 | CPU: 0.0% | RAM: 68.2% | Disk IO: 46385 | Network Connections: 36
2023-04-30 11:35:21 | CPU: 1.0% | RAM: 68.2% | Disk IO: 46385 | Network Connections: 36
2023-04-30 11:35:22 | CPU: 0.0% | RAM: 68.2% | Disk IO: 46385 | Network Connections: 36
2023-04-30 11:35:23 | CPU: 0.0% | RAM: 68.2% | Disk IO: 46385 | Network Connections: 36
2023-04-30 11:35:24 | CPU: 0.0% | RAM: 68.2% | Disk IO: 46385 | Network Connections: 36
2023-04-30 11:35:25 | CPU: 1.0% | RAM: 68.2% | Disk IO: 46385 | Network Connections: 36
2023-04-30 11:35:26 | CPU: 2.0% | RAM: 68.2% | Disk IO: 46385 | Network Connections: 36
2023-04-30 11:35:27 | CPU: 0.0% | RAM: 68.2% | Disk IO: 46385 | Network Connections: 36
2023-04-30 11:49:08 | CPU: 0.0% | RAM: 68.3% | Disk IO: 46388 | Network Connections: 288
2023-04-30 11:49:09 | CPU: 100.0% | RAM: 68.3% | Disk IO: 46388 | Network Connections: 287
2023-04-30 11:49:10 | CPU: 100.0% | RAM: 68.3% | Disk IO: 46388 | Network Connections: 289
2023-04-30 11:49:11 | CPU: 100.0% | RAM: 68.3% | Disk IO: 46388 | Network Connections: 290
2023-04-30 11:49:12 | CPU: 100.0% | RAM: 68.3% | Disk IO: 46388 | Network Connections: 290
2023-04-30 11:49:13 | CPU: 100.0% | RAM: 68.3% | Disk IO: 46388 | Network Connections: 290
2023-04-30 11:49:14 | CPU: 100.0% | RAM: 68.3% | Disk IO: 46388 | Network Connections: 287
2023-04-30 11:49:15 | CPU: 100.0% | RAM: 68.3% | Disk IO: 46388 | Network Connections: 287
2023-04-30 11:49:16 | CPU: 100.0% | RAM: 68.3% | Disk IO: 46388 | Network Connections: 288
2023-04-30 11:49:17 | CPU: 100.0% | RAM: 68.4% | Disk IO: 46388 | Network Connections: 288
2023-04-30 11:49:18 | CPU: 100.0% | RAM: 68.4% | Disk IO: 46388 | Network Connections: 288
2023-04-30 11:49:19 | CPU: 100.0% | RAM: 68.4% | Disk IO: 46388 | Network Connections: 289
2023-04-30 11:49:20 | CPU: 100.0% | RAM: 68.4% | Disk IO: 46388 | Network Connections: 290
2023-04-30 11:49:21 | CPU: 100.0% | RAM: 68.4% | Disk IO: 46388 | Network Connections: 289
2023-04-30 11:49:22 | CPU: 100.0% | RAM: 68.4% | Disk IO: 46388 | Network Connections: 289
2023-04-30 11:49:23 | CPU: 100.0% | RAM: 68.4% | Disk IO: 46388 | Network Connections: 289
2023-04-30 11:49:24 | CPU: 100.0% | RAM: 68.4% | Disk IO: 46388 | Network Connections: 290
2023-04-30 11:49:25 | CPU: 100.0% | RAM: 68.4% | Disk IO: 46388 | Network Connections: 288
2023-04-30 11:49:26 | CPU: 100.0% | RAM: 68.4% | Disk IO: 46388 | Network Connections: 289
2023-04-30 11:49:27 | CPU: 100.0% | RAM: 68.4% | Disk IO: 46388 | Network Connections: 289
2023-04-30 11:49:28 | CPU: 100.0% | RAM: 68.4% | Disk IO: 46388 | Network Connections: 289
2023-04-30 11:49:29 | CPU: 100.0% | RAM: 68.4% | Disk IO: 46388 | Network Connections: 289
2023-04-30 11:49:30 | CPU: 100.0% | RAM: 68.4% | Disk IO: 46388 | Network Connections: 290
2023-04-30 11:49:31 | CPU: 100.0% | RAM: 68.4% | Disk IO: 46388 | Network Connections: 288
2023-04-30 11:49:32 | CPU: 100.0% | RAM: 68.4% | Disk IO: 46388 | Network Connections: 289
2023-04-30 11:49:33 | CPU: 100.0% | RAM: 68.4% | Disk IO: 46388 | Network Connections: 288
2023-04-30 11:49:34 | CPU: 100.0% | RAM: 68.4% | Disk IO: 46388 | Network Connections: 289
2023-04-30 11:49:35 | CPU: 100.0% | RAM: 68.4% | Disk IO: 46388 | Network Connections: 288
2023-04-30 11:49:36 | CPU: 100.0% | RAM: 68.4% | Disk IO: 46388 | Network Connections: 288
2023-04-30 11:49:37 | CPU: 100.0% | RAM: 68.3% | Disk IO: 46388 | Network Connections: 289
2023-04-30 11:49:39 | CPU: 100.0% | RAM: 68.3% | Disk IO: 46388 | Network Connections: 290
2023-04-30 11:49:40 | CPU: 100.0% | RAM: 68.3% | Disk IO: 46388 | Network Connections: 289
2023-04-30 11:49:41 | CPU: 100.0% | RAM: 68.3% | Disk IO: 46389 | Network Connections: 287
2023-04-30 11:49:42 | CPU: 98.0% | RAM: 68.3% | Disk IO: 46390 | Network Connections: 287
2023-04-30 11:49:43 | CPU: 99.0% | RAM: 68.3% | Disk IO: 46390 | Network Connections: 287
2023-04-30 11:49:44 | CPU: 100.0% | RAM: 68.3% | Disk IO: 46391 | Network Connections: 288
2023-04-30 11:49:45 | CPU: 99.0% | RAM: 68.3% | Disk IO: 46391 | Network Connections: 288
2023-04-30 11:49:46 | CPU: 100.0% | RAM: 68.3% | Disk IO: 46391 | Network Connections: 288
2023-04-30 11:49:47 | CPU: 100.0% | RAM: 68.3% | Disk IO: 46391 | Network Connections: 289
2023-04-30 11:49:48 | CPU: 100.0% | RAM: 68.3% | Disk IO: 46391 | Network Connections: 288
2023-04-30 11:49:49 | CPU: 100.0% | RAM: 68.3% | Disk IO: 46392 | Network Connections: 290
2023-04-30 11:49:50 | CPU: 98.0% | RAM: 68.3% | Disk IO: 46398 | Network Connections: 288
2023-04-30 11:49:51 | CPU: 100.0% | RAM: 68.3% | Disk IO: 46398 | Network Connections: 289
2023-04-30 11:49:52 | CPU: 100.0% | RAM: 68.3% | Disk IO: 46398 | Network Connections: 288
2023-04-30 11:49:53 | CPU: 100.0% | RAM: 68.3% | Disk IO: 46398 | Network Connections: 288
2023-04-30 11:49:54 | CPU: 100.0% | RAM: 68.3% | Disk IO: 46398 | Network Connections: 288
2023-04-30 11:49:55 | CPU: 100.0% | RAM: 68.3% | Disk IO: 46398 | Network Connections: 287
2023-04-30 11:49:56 | CPU: 100.0% | RAM: 68.3% | Disk IO: 46398 | Network Connections: 287
2023-04-30 11:49:57 | CPU: 100.0% | RAM: 68.3% | Disk IO: 46398 | Network Connections: 286
