_______________________________________________________________ Logs with initial setup ______________________________________________________________

2023-05-02 12:32:11 | CPU: 0.0% | RAM: 10.1% | Disk Read Count: 26149 | Disk Write Count: 310264 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011229696 | Disk Read Time: 6224 | Disk Write Time: 468012 | Disk Busy Time: 234472 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116101 | Network Connections: 7
2023-05-02 12:32:12 | CPU: 65.1% | RAM: 10.1% | Disk Read Count: 26149 | Disk Write Count: 310266 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011270656 | Disk Read Time: 6224 | Disk Write Time: 468014 | Disk Busy Time: 234476 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116109 | Network Connections: 263
2023-05-02 12:32:13 | CPU: 77.1% | RAM: 10.1% | Disk Read Count: 26149 | Disk Write Count: 310268 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011278848 | Disk Read Time: 6224 | Disk Write Time: 468017 | Disk Busy Time: 234480 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116109 | Network Connections: 261
2023-05-02 12:32:14 | CPU: 77.4% | RAM: 10.1% | Disk Read Count: 26149 | Disk Write Count: 310268 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011278848 | Disk Read Time: 6224 | Disk Write Time: 468017 | Disk Busy Time: 234480 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116109 | Network Connections: 360
2023-05-02 12:32:15 | CPU: 77.6% | RAM: 10.1% | Disk Read Count: 26149 | Disk Write Count: 310284 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011348480 | Disk Read Time: 6224 | Disk Write Time: 468048 | Disk Busy Time: 234488 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116109 | Network Connections: 513
2023-05-02 12:32:16 | CPU: 77.0% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310284 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011348480 | Disk Read Time: 6224 | Disk Write Time: 468048 | Disk Busy Time: 234488 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116109 | Network Connections: 615
2023-05-02 12:32:17 | CPU: 77.0% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310287 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011442688 | Disk Read Time: 6224 | Disk Write Time: 468051 | Disk Busy Time: 234500 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116119 | Network Connections: 762
2023-05-02 12:32:18 | CPU: 77.3% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310295 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011479552 | Disk Read Time: 6224 | Disk Write Time: 468058 | Disk Busy Time: 234504 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116120 | Network Connections: 849
2023-05-02 12:32:19 | CPU: 77.6% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310296 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011483648 | Disk Read Time: 6224 | Disk Write Time: 468058 | Disk Busy Time: 234508 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116120 | Network Connections: 1010
2023-05-02 12:32:20 | CPU: 76.7% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310296 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011483648 | Disk Read Time: 6224 | Disk Write Time: 468058 | Disk Busy Time: 234508 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116120 | Network Connections: 1011
2023-05-02 12:32:21 | CPU: 77.2% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310296 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011483648 | Disk Read Time: 6224 | Disk Write Time: 468058 | Disk Busy Time: 234508 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116120 | Network Connections: 1012
2023-05-02 12:32:22 | CPU: 77.2% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310299 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011569664 | Disk Read Time: 6224 | Disk Write Time: 468060 | Disk Busy Time: 234516 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116128 | Network Connections: 1013
2023-05-02 12:32:23 | CPU: 77.2% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310299 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011569664 | Disk Read Time: 6224 | Disk Write Time: 468060 | Disk Busy Time: 234516 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116128 | Network Connections: 1015
2023-05-02 12:32:24 | CPU: 76.9% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310301 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011577856 | Disk Read Time: 6224 | Disk Write Time: 468062 | Disk Busy Time: 234520 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116128 | Network Connections: 1013
2023-05-02 12:32:25 | CPU: 77.3% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310301 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011577856 | Disk Read Time: 6224 | Disk Write Time: 468062 | Disk Busy Time: 234520 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116128 | Network Connections: 1011
2023-05-02 12:32:26 | CPU: 77.8% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310301 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011577856 | Disk Read Time: 6224 | Disk Write Time: 468062 | Disk Busy Time: 234520 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116128 | Network Connections: 1015
2023-05-02 12:32:27 | CPU: 77.6% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310309 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011700736 | Disk Read Time: 6224 | Disk Write Time: 468069 | Disk Busy Time: 234536 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116139 | Network Connections: 1015
